player,score
vassilis,495
thomas,29
guy,215
theodor,344
guy,82
vassilis,487
rakhilaa,347
guy,351
rakhilaa,285
rahul,90
ben,288
rakhilaa,279
theodor,66
bob,233
bob,321
rakhilaa,162
theodor,219
rakhilaa,308
quinton,48
rakhilaa,236
thomas,431
rakhilaa,151
ben,201
theodor,435
quinton,59
theodor,331
guy,347
rakhilaa,204
vassilis,328
quinton,213
ben,320
thomas,159
quinton,413
quinton,492
thomas,336
ben,166
rahul,392
bill,362
bill,474
thomas,376
bill,413
bob,262
vassilis,161
vassilis,7
guy,7
quinton,307
rahul,315
guy,400
bob,131
vassilis,206
vassilis,273
vassilis,333
bill,119
bill,428
ben,239
bob,10
ben,127
ben,165
bill,342
theodor,322
thomas,144
guy,333
bill,40
bob,408
ben,290
rahul,115
quinton,261
vassilis,218
ben,190
quinton,291
rakhilaa,161
rakhilaa,269
bob,292
rakhilaa,277
guy,58
quinton,488
ben,452
rahul,1
bill,118
theodor,393
vassilis,217
ben,313
rahul,110
rakhilaa,40
quinton,298
bob,149
theodor,463
guy,73
ben,145
bob,46
quinton,199
vassilis,349
ben,53
bill,152
rahul,374
bob,309
bob,59
bill,436
rahul,286
rahul,459
rakhilaa,337
thomas,195
ben,282
rakhilaa,4
thomas,490
thomas,83
quinton,380
vassilis,310
theodor,237
bob,386
ben,361
bob,304
guy,322
theodor,74
rakhilaa,328
rakhilaa,296
bill,481
thomas,337
ben,145
rakhilaa,83
vassilis,315
ben,243
ben,493
theodor,122
guy,147
ben,113
theodor,416
ben,113
thomas,265
theodor,152
quinton,229
quinton,260
guy,337
guy,202
guy,456
rahul,165
thomas,144
bob,384
rahul,168
bob,135
thomas,299
quinton,199
bill,194
rahul,234
guy,440
thomas,242
thomas,19
bill,274
vassilis,5
ben,128
ben,69
rakhilaa,258
thomas,201
rahul,277
quinton,387
bill,496
guy,69
bob,435
guy,394
bill,247
ben,437
theodor,495
ben,61
guy,220
ben,419
rakhilaa,375
rahul,407
bob,380
vassilis,152
guy,17
guy,439
guy,237
vassilis,78
rakhilaa,200
quinton,116
bob,425
bob,226
bob,375
theodor,134
bill,469
ben,431
guy,454
rahul,139
rahul,83
rakhilaa,26
bob,246
bob,392
bob,408
vassilis,213
bob,489
quinton,369
quinton,429
rakhilaa,6
vassilis,264
rakhilaa,288
guy,364
quinton,487
vassilis,199
bill,482
bill,336
guy,334
theodor,463
rahul,289
rakhilaa,45
guy,409
ben,299
vassilis,385
vassilis,381
ben,171
theodor,219
ben,327
theodor,150
rakhilaa,76
quinton,289
rahul,85
quinton,415
quinton,216
guy,475
